id	title	author	comic	comicElements	comment
0001	Soneto chino	Augusto E. Madan	1	1	
0002	A la toma de Larache	Juan de Arguijo	1	1	
0003	Patria mía	Jon Juaristi	1	1	
0004	A un valentón	Miguel de Cervantes	1	1	
0005	Ripios ratoniles	Augusto E. Madan	1	1	
0006	A una nariz	Francisco de Quevedo	1	1	
0007	Maestro era de esgrima Campuzano	Miguel de Cervantes	1	1	commonly attributed to Cervantes
0008	Carta en Noviembre	Jon Juaristi	0	1	comic elements "modorra otoñal", "chicharra"
0009	LASTICO-SEXUAL	Manuel Bernabé	1	1	
0010	SONETO	Melchor Jufré del Águila	1	1	comic elements repetition of sounds in last line
