	gpt-35-turbo
descripción	1.7087503871132492
exageración	1.663155812972343
cómico	1.629163067278538
trata	1.376177025136443
exagerado	1.1764945841693417
humorístico	1.1299164566130495
además	1.1234944613675977
exagerada	1.0761490904321063
hacen	1.0368191009364993
toque	1.0349677154551202
SCONJ	1.0198666791163329
AUX	1.0006709771482647
resultar	0.9641440380264434
debido	0.8917182671956808
contiene	0.8528292927876477
poeta	0.8481937659197689
forma	0.828986408040685
sarcástico	0.7746875031728061
combinación	0.7732366808767306
comparación	0.7431255359385088
historia	0.7352072937962403
poema	0.73041662882402
resulta	0.6957898233412106
lectores	0.6582681673437888
situación	0.6527390194037562
sentimientos	0.6389750210934104
composición	0.6244137400732436
sarcástica	0.6221856400172879
presentes	0.5861858248188875
juega	0.5748490481989372

	gpt-4o
ADJ	1.89209177259449
CCONJ	1.8512588987162788
intención	1.2757781426604007
formal	1.2239832629737586
elevado	1.1607069138274848
(	1.1493903511571857
)	1.1493903511571857
solemne	1.1386902387651885
lenguaje	1.101193114022007
emplea	1.0573753808432487
.	1.0014527423161095
utiliza	0.8657998291259547
parece	0.8257843062474672
ligero	0.7977088812325127
solemnes	0.7937129526938574
juegos	0.7932731937503179
incongruencia	0.7515274626631463
después	0.7345305972933989
describe	0.7342936711297537
NOUN	0.7265615433508762
razones	0.7151356928492151
sorpresa	0.7000280399605098
cómica	0.6968082008757137
elección	0.677348845651691
'	0.6749425456074442
narrador	0.6745084767418321
debido	0.6702211214228959
típicos	0.6692748073214086
humor	0.6630234970723616
PUNCT	0.6588698096270265

	gpt-4o-mini
,	4.1454087805960285
PRON	2.6329960152393013
aunque	2.3009772758462574
presenta	2.1699097176268154
través	1.6384767086402148
'	1.633619088052401
DET	1.5895500473179676
sugiere	1.5039888784857698
enfoque	1.4466181715631792
evoca	1.362385634296138
aleja	1.3044128681495342
risa	1.2976746348269161
hablante	1.2890857577012595
imágenes	1.2158619016759185
refuerza	1.1765040773227378
resumen	1.1665744982625192
crítica	1.1351972461482942
provoca	1.0866264890695219
conclusión	1.011681723512446
.	1.0043326127362708
lírico	0.9991316240005023
invita	0.9979026231021828
contexto	0.9827012160099307
uso	0.9759624995383724
belleza	0.9571694906510525
lucha	0.9533417582761363
sino	0.9260464522768789
conexión	0.9106174525951605
convierte	0.8503387027174507
divertida	0.8475010794389215

