	claude-3-5-haiku-latest
completamente	4.460734444045556
soneto	3.751943250881352
ADJ	3.60761289304492
estructura	2.6978098812608047
genera	2.367640941541468
profundamente	2.2499821141370613
culto	2.080844347067898
poeta	1.9529061826988316
expresiones	1.9335658395385542
usa	1.9281155309381837
alejándose	1.9144923507919072
elemento	1.7984566590558377
existencial	1.7699460707746173
casi	1.7548934413431225
poético	1.697753813152342
transmite	1.6955356345624353
lenguaje	1.688701752364091
comicidad	1.683764279591402
referencias	1.662382389186223
juega	1.6475412338464797
:	1.549365589115512
mediante	1.5065302357386752
dramático	1.4807593594212805
generan	1.476535464696519
paródico	1.4587001073547274
estilo	1.456520368306569
ingenioso	1.4017178209354824
tradicional	1.308004766820618
elegante	1.2511414054826264
mordaz	1.2387373137164934

	claude-3-5-sonnet-latest
)	5.181952081227062
(	4.496158414275596
ADJ	3.631257795477642
soneto	2.4177057108176037
culmina	1.890070430030051
sino	1.8705088922523483
solemne	1.7877906013782392
SYM	1.6431661114328484
construye	1.5992689745813897
emplea	1.5226393839738404
utiliza	1.4891584113853715
creando	1.475756227799933
final	1.4436882801114916
NUM	1.410590444391263
metáforas	1.3946544414266187
empleando	1.34666891764034
formal	1.1994855078282083
irónicamente	1.181514059170595
oro	1.1617184510678509
satíricos	1.1506893684916621
elevados	1.1447267407563946
elevado	1.1444263544010245
primero	1.12381668041109
PUNCT	1.0947748808490432
/	1.0867493297230695
culminando	1.0781294769074932
cualquier	1.0462253187211419
amoroso	1.0079713142226578
siglo	0.9647219769236295
revela	0.9617496823545751

	deepseek-chat
centrándose	4.1570870617366396
presentado	3.122806761232582
comedia	2.692171837572529
temas	2.4514667918973703
lenguaje	2.3614403155523593
intención	2.357900504028746
junto	2.324667739542764
juicio	2.2001741060849636
tener	2.0916255338625995
ser	1.8555666534778064
considera	1.8491769923550139
subjetiva	1.821389987724225
,	1.8062619338283117
típicos	1.79131937794529
lejos	1.7346218539794034
SYM	1.7116352319944126
percibido	1.7102316264626738
capa	1.6471354275164347
ADP	1.6232903333929092
especialmente	1.4262041434198875
comicidad	1.3741378703230478
juguetón	1.3643590174759719
presenta	1.364313603984288
satírico	1.358051355364137
haciendo	1.3129461529678788
'	1.2941954240634996
utilizado	1.2881420560466708
refuerza	1.2846263257696047
lírica	1.2796145704719253
descripción	1.2677471158761782

	gemini-15-pro
 	5.258063849376848
""""	4.769723453511788
SPACE	3.322799781657397
PUNCT	2.6656492481591143
describe	2.417394654414991
hablante	2.0939925419390146
sugieran	2.0307320505602933
yuxtaposición	1.8064667863580164
expresa	1.7411606184097368
crea	1.3607039397997158
centra	1.3025189965873758
.	1.2311597151160831
elevado	1.2095666580150364
provoquen	1.1843421813774981
propio	1.1372390943433797
poeta	0.9826124196914884
reverente	0.9614503733192227
humorísticos	0.9609521170725471
imagen	0.957713958921076
DET	0.9149551012971381
sino	0.8151243686257624
sátira	0.8117475480929436
admiración	0.7756213242548382
expresando	0.7437250736424349
tema	0.7115254511388713
naturaleza	0.7072557667516411
figura	0.7029425849890939
incluso	0.685180867956236
divina	0.6799183775782167
literarios	0.6796344891203151

	gemini-20-flash
""""	4.797902621318652
comicidad	3.3521058567959514
.	2.522158376184959
si	2.435618776988732
incongruencia	2.3151549255863144
podría	2.259125395076792
depende	2.1570062110713373
interpretarse	2.105843904603434
exageración	2.067104665067192
reside	1.9824082556889764
rima	1.7786115048676168
interpretación	1.7661554004709108
PUNCT	1.7168544278273414
cómicos	1.6555275598983805
hipérbole	1.6490950912658844
idealización	1.6251658000012383
elevado	1.62165393466755
,	1.6126651622732158
debido	1.5388624599878777
aunque	1.4854045658802688
inherentemente	1.4735227990381488
determinar	1.4506677766273923
resumen	1.4042211077551439
grandiosidad	1.40410511745013
consonante	1.389938415846694
grandilocuencia	1.3759561406523413
formal	1.3625420098356944
seriedad	1.3425089278380833
sorpresa	1.312221350401845
inicial	1.2751250988992793

	gpt-35-turbo
exageración	3.0215145522090485
además	2.9562171288992136
humorístico	2.742965558260843
cómico	2.3387787269454323
trata	2.187188812331792
hacen	2.0447840181980914
toque	1.8891201499051218
resultar	1.8182072212794038
descripción	1.8036686273859501
exagerada	1.7756135843550132
debido	1.7125912800160363
exagerado	1.6630279678261537
forma	1.5414324567205973
combinación	1.3902941941068887
sarcástico	1.3587269312849288
considera	1.3332251920835225
ADP	1.3217038907113423
resulta	1.2531905880374081
SCONJ	1.231269538665378
poema	1.226745482141041
sentimientos	1.2045322171912267
comparación	1.1920448239268697
situación	1.1822321093278196
manera	1.1693461713778084
tono	1.1201293585516097
lector	1.1159801620925347
personas	1.0997562781353765
lectores	1.0617168743957917
historia	1.0610324683371897
palabras	1.0513618512907044

	gpt-41
,	6.11686513498194
recursos	3.4124916628850137
”	3.036668658884312
“	3.0223386068857376
considerarse	2.2654143129210214
(	2.0129913800700288
juegos	2.0014630841449486
emplea	1.8356717661898205
burla	1.8188847194458007
literarios	1.8153122158582766
ADJ	1.7432883755079507
remate	1.7363434265616378
ironía	1.7343492527292008
comicidad	1.731700279051747
:	1.723767866774841
principalmente	1.6631118766092017
solemne	1.6559266260752474
absurdas	1.6396600692097103
PUNCT	1.5607181629020352
palabras	1.5392281593652186
texto	1.4999783162858165
)	1.4968928546654885
lírico	1.4910617942018172
poesía	1.4854687388098038
parodia	1.4701849278530028
tampoco	1.4246285708870385
presentado	1.4216557575729494
propio	1.3754732963600496
irónico	1.339846126482091
ello	1.3117904441078594

	gpt-4o
.	2.605413562394522
contenido	2.0155423185352133
humor	1.8949831301029485
NOUN	1.768551335349616
cómica	1.7549169107851734
CCONJ	1.6795787958209387
formal	1.6718560812102419
manera	1.6169362298265666
elección	1.5504101039057918
debido	1.5002817144083518
serio	1.448322721358707
situaciones	1.3637901310332927
cómicas	1.3305260917029063
reír	1.3126162192681285
sorpresa	1.3055310363419128
lugar	1.2837525064878799
hacer	1.2642113986552252
destacando	1.2582185474533967
parece	1.2533052670063298
VERB	1.2510285212356322
solemnes	1.246497661831245
ADV	1.241221179444572
tono	1.197533902317976
solemne	1.1888407980865965
palabras	1.1781042015140095
entretenimiento	1.1725024750638622
características	1.14064752074535
temas	1.1366293525325633
ridículas	1.127687402016257
razones	1.1157915479542717

	gpt-4o-mini
PRON	4.476400755151147
presenta	3.642427940872766
,	3.3900348083298315
enfoque	2.9128702057534133
través	2.589257786704576
aunque	2.334840468010926
DET	2.229067243833685
uso	2.2236277687986457
evoca	2.0062774442392435
'	1.9980378929673013
risa	1.9977072571582537
provoca	1.9134638883598651
lucha	1.9133509253615892
resumen	1.8867296544925554
sugiere	1.8594783267316073
así	1.8489897535054642
aleja	1.8309970766357913
ADP	1.787758646547894
invita	1.7418368961529398
.	1.707141045652808
obra	1.6377430623335008
imágenes	1.5863248103029501
crítica	1.5736732962898192
vida	1.5551242703396682
puede	1.5476123692700579
belleza	1.5431769313134516
emocional	1.5091760556835645
largo	1.4786074660129256
contexto	1.4328729667163842
pesar	1.4085343919531599

	mistral-large-latest
debido	4.261492142200663
mención	2.8066927949551697
razón	2.7055644775644634
AUX	2.6468007945979846
toque	2.477702813389345
temática	2.2298839803909094
profundidad	1.8121117085975555
interpretados	1.797851170445982
principal	1.7783870946589995
resumen	1.7035613186496628
SYM	1.6685606604378074
embargo	1.6652317332446318
primer	1.5596409994991418
ligero	1.5582157636256753
añaden	1.4857506134411453
poema	1.4726859985278076
'	1.4587780421716112
CCONJ	1.448819863981478
añade	1.4484711833719268
subraya	1.446467998960041
centra	1.4127248815681834
profunda	1.3902067465739338
serios	1.3793373208862734
metafórico	1.364027497174148
solemne	1.3271492933128015
idea	1.320590448481444
humorísticos	1.315864320238942
atmósfera	1.293554007909992
.	1.2881036567165305
hace	1.2865210258997242

	mistral-small
contiene	4.274468085888587
diseñado	3.5045919008334616
ADV	2.5698479926188957
contrario	2.383091225065655
ser	2.1700040584551745
titulado	2.1576273173515728
sátira	2.0587224870308
palabra	1.9954795675075414
aunque	1.9831922783644607
AUX	1.8943323516379602
intencionalmente	1.894033595030621
poema	1.8389394055203605
diversión	1.8304378119592029
métrica	1.8248164940796014
rima	1.76226457187492
lugar	1.7280274046906214
CCONJ	1.6647597549185762
cómicos	1.6599302694052163
destinado	1.6522955705452256
considerar	1.5895116794904944
chistes	1.498864069453596
tradicional	1.4203411435265374
puede	1.2769549154083548
gracioso	1.2625013828617728
utilizados	1.2549961083732564
poético	1.247693785654677
comedia	1.233540413120409
ningún	1.232627035398082
escrito	1.1735413485870854
hablante	1.1254759085267492

