	claude-3-5-haiku-latest
completamente	3.0465689956469486
soneto	2.3367153004059396
genera	2.110958989904778
profundamente	1.9045889159031837
estructura	1.8216097295382325
expresiones	1.811274957141865
lenguaje	1.6488979058872695
elemento	1.5722257380157882
transmite	1.5327566691906036
culto	1.378785001866584
elegante	1.2549564567798133
existencial	1.2200031624358463
estilo	1.200937528001172
juega	1.1949338127033071
poeta	1.1806157645955304
casi	1.1764846912398967
adicional	1.1702292513046022
poético	1.147309359496282
generan	1.128640397802674
ADJ	1.1176314133522538
épico	1.1059832720882474
:	1.090370834435308
varios	1.0839213250055135
sutil	1.0734236978497835
mordaz	1.0589057565039264
presentando	1.0261006058679067
usa	1.0215333404192375
paródico	1.0061866532232184
intenso	0.969255458319048
produce	0.9670766488578527

	claude-3-5-sonnet-latest
)	1.9222840278951034
culmina	1.6795197593817957
final	1.5391054691262247
construye	1.4947968932038458
solemne	1.4737967163214667
emplea	1.4649502859877215
ADJ	1.3839364119246673
(	1.3791643991513614
soneto	1.3481190688365687
irónicamente	1.312594985780607
utiliza	1.2958595995233866
empleando	1.2674963147774174
NUM	1.2427287335423205
sino	1.2387757619041662
cualquier	1.23530997933524
creando	1.1805305154781085
metáforas	1.172728893507417
primero	1.1477735939303126
crean	1.070725123562662
revela	1.053354089715327
imágenes	1.0420797190655122
título	1.0220260822823768
siendo	1.0157345120517784
rompe	1.0107638724861536
tradicionalmente	0.9693605622366978
autor	0.9358446263968808
melancólico	0.9330510927844484
paradoja	0.9270221443953304
romántico	0.9197796217770595
sentimental	0.9119200515949913

	deepseek-chat
centrándose	3.1016364918919797
presentado	2.5782118326691617
juicio	2.0643597787583343
lenguaje	1.9671713598964746
percibido	1.8684444357738108
intención	1.784660118309773
capa	1.7593772140095225
lejos	1.7187658864033335
ADP	1.7054246197837446
considera	1.6732053192286107
especialmente	1.6703118050735188
temas	1.638091133169192
utilizando	1.5455234883015105
después	1.4826403074975667
subjetiva	1.4736164321969993
tener	1.4553251201666149
junto	1.3835512567634403
comedia	1.353169332021801
comicidad	1.3137266120692153
SYM	1.2801606350755805
lírica	1.2646045290960324
satírico	1.2465712832637972
recurso	1.2169926345732687
presenta	1.2136018418456989
aborda	1.211082179236017
haciendo	1.188788313675288
exagerado	1.1629947745699003
mención	1.1493896704715643
juguetón	1.131744005113645
pechina	1.1223533589847883

	gemini-15-pro
 	3.630378237399361
describe	2.4036054242846063
SPACE	2.380725472983783
sugieran	1.946303526879551
yuxtaposición	1.9149097990744592
expresa	1.8198329178495334
crea	1.715253234629462
hablante	1.6807352186467714
PUNCT	1.4017157074733833
provoquen	1.2350392364109577
propio	1.2004098975923518
.	1.128292464219342
refuerza	1.0475918544264236
centra	1.0417246460004543
humorísticos	1.0361481050319479
reverente	1.025071593348548
sino	0.9727257895400687
sátira	0.952967987509244
""""	0.9405640269726276
literarios	0.9262360994286768
irónico	0.8858699005032828
evoca	0.8570063273742713
remata	0.8365308738954128
poeta	0.8233347150994975
arte	0.7983277043409271
alma	0.7715903405657102
hombre	0.7709898794338849
ironía	0.7615774017016506
incluso	0.7508867388186649
representa	0.7343689822228119

	gemini-20-flash
.	2.5854765802300674
comicidad	2.509701576341467
incongruencia	1.986667651126731
inherentemente	1.9680542679811461
reside	1.9196677629727994
considera	1.8797368484442236
interpretarse	1.7119332293738347
grandiosidad	1.6279755490983658
""""	1.4799529297971439
aunque	1.4597408380403227
inicialmente	1.4560654986949033
cómicos	1.4543729426255958
hipérbole	1.4477406850387369
grandilocuencia	1.4296059912907384
debido	1.3824108846968286
subjetivo	1.3362509934627342
rima	1.3070723225944179
determinar	1.3049448026104722
general	1.2937784238745424
exageración	1.2932962652475686
si	1.2788259021458253
establece	1.2784705545015191
primer	1.2688317952117336
idealización	1.2668209744622885
sorpresa	1.2580875154472562
contrastar	1.2524574558868509
resumen	1.2382630626980098
inicial	1.164035005328969
intensifica	1.1598304153029535
surge	1.1533431054805743

	gpt-35-turbo
humorístico	2.2826043129322735
además	2.25565653505583
cómico	1.8895159057902762
exageración	1.644824835970981
considera	1.5537468847548566
hacen	1.3302327406731438
trata	1.2869696464087157
toque	1.244716006330337
resulta	1.230504622432745
percepción	1.17998775240119
descripción	1.1427360173979388
personas	1.1302719619812278
reflexiva	1.1222939365069142
resultar	1.1073361969887943
forma	1.069680044919092
surrealista	1.0244404514823877
exagerado	1.016561952194572
palabras	0.9973159010157726
sentimientos	0.9927492486490257
sarcástico	0.9792755166452133
lector	0.9384444566059517
trascendental	0.919184244721408
melancólico	0.8876682834132402
debido	0.8466613193625601
SCONJ	0.8401864238162926
exagerada	0.8320236375751816
reflexivo	0.8138254471825168
poética	0.8079140979899294
composición	0.8060033474682815
mostrando	0.8030572646135289

	gpt-41
,	3.5288467723385017
considerarse	2.0573082931059288
literarios	1.95997649298474
”	1.8885709438871698
“	1.8885296289625575
recursos	1.8646617819785611
principalmente	1.857317432769135
remate	1.7837602719001655
presentado	1.4840343501315156
absurdas	1.4666579053846351
burlesca	1.4345960457900777
(	1.4084714277440595
juegos	1.4076187557236604
:	1.3922371212163782
burla	1.3502775794212993
comicidad	1.3460788212176893
tampoco	1.3332156711373628
ironía	1.3037147028797642
–	1.2705173827247835
asociados	1.2651850633710044
ello	1.2607303688532157
resignación	1.2581182293220636
solemne	1.2530942277850587
parodia	1.2280915257315252
existencial	1.2127231248385235
propio	1.1714606697457912
irónico	1.1681532067002998
ligera	1.1602400181931947
contrario	1.1575110316102524
emplea	1.153056426009001

	gpt-4o
.	3.2783032065423865
humor	1.8364064174551984
CCONJ	1.6852479670276315
sorpresa	1.5208710808664427
